Delta Mass,USI,Charge,Cosine,Matching Peaks,Dataset,Status
0,mzspec:MSV000090825:peak/mzml/236_M12_SCFA_3_D8.mzML:scan:563,1,1,5,MSV000090825,NoID
0,mzspec:MSV000090825:ccms_peak/raw/236_M12_SCFA_3_D8.mzML:scan:563,1,1,5,MSV000090825,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/Salmonella_infection_cecum_25_spike_low_LC2.mzML:scan:540,1,0.99,5,MSV000095423,NoID
0,mzspec:MSV000094447:peak/AP_75.mzML:scan:273,1,0.99,5,MSV000094447,NoID
1.03,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100/Reaction_mix_KV5_LC2.mzML:scan:437,1,0.99,5,MSV000095423,NoID
0,mzspec:MSV000090825:peak/mzml/35_F112_BSL_1_C11.mzML:scan:547,1,0.99,5,MSV000090825,NoID
0,mzspec:MSV000095423:updates/2024-07-24_helenamrusso_d8d86449/peak/LC1_5to100/Reaction_mix_KV1-C4.mzML:scan:367,1,0.99,5,MSV000095423,NoID
0,mzspec:MSV000090825:ccms_peak/raw/35_F112_BSL_1_C11.mzML:scan:547,1,0.99,5,MSV000090825,NoID
1.04,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100/Reaction_mix_pool_all_100H2O_LC2.mzML:scan:498,1,0.98,4,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/DeadBody_Plate7_54608_Skin_GG3_spike_low_LC2.mzML:scan:557,1,0.98,5,MSV000095423,NoID
1.03,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100/Reaction_mix_pool_LC2.mzML:scan:488,1,0.98,5,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/Salmonella_infection_cecum_16_spike_low_LC1.mzML:scan:537,1,0.98,5,MSV000095423,NoID
0,mzspec:MSV000094220:peak/CMMC_02012024_C4_0_aminoacids.mzML:scan:242,1,0.98,5,MSV000094220,NoID
-0.99,mzspec:MSV000084900:ccms_peak/Global_Foodomics_composite_data_2020/Italy_2018/MSV000082069_plate_1/G87379_RA3_01_26068.mzML:scan:50,1,0.98,3,MSV000084900,NoID
-0.99,mzspec:MSV000082069:ccms_peak/data_mzxml/Samples/G87379_RA3_01_26068.mzML:scan:50,1,0.98,3,MSV000082069,NoID
0,mzspec:MSV000094135:peak/mzML/G2_QE2.mzML:scan:251,1,0.98,4,MSV000094135,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/Salmonella_infection_cecum_27_spike_high_LC2.mzML:scan:496,1,0.98,4,MSV000095423,NoID
1.04,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/DeadBody_Plate7_54968_Skin_GA2_spike_high_LC1.mzML:scan:470,1,0.98,5,MSV000095423,NoID
1.04,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100/Reaction_mix_pool_all_50MeOH_LC1.mzML:scan:462,1,0.98,5,MSV000095423,NoID
0,mzspec:MSV000095423:peak/all_files_mzML/LC2_1to100_spiking/DeadBody_Plate1_43522_Skin_GD2_spike_low_LC2.mzML:scan:544,1,0.98,5,MSV000095423,NoID
1.03,mzspec:MSV000095423:peak/all_files_mzML/LC1_1to100_spiking/DeadBody_Plate7_45500_Skin_GF4_spike_high_LC1.mzML:scan:480,1,0.98,5,MSV000095423,NoID
