Delta Mass,USI,Charge,Cosine,Matching Peaks,Dataset,Status
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:171065,1,1,14,MSV000091795,NoID
0,mzspec:MSV000091795:peak/synthesized_bile_acids_conjugates.mzML:scan:3,1,1,14,MSV000091795,NoID
0,mzspec:MSV000087523:peak/pos QE/18A.mzML:scan:2403,1,1,14,MSV000087523,NoID
0,mzspec:MSV000087523:ccms_peak/pos QE/18A.mzML:scan:2403,1,1,14,MSV000087523,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ102.mzXML:scan:2076,1,0.99,13,MSV000081343,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:418061,1,0.99,13,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:433150,1,0.99,13,MSV000091795,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ38.mzXML:scan:2047,1,0.99,13,MSV000081343,NoID
0,mzspec:MSV000081492:ccms_peak/Raw_Files/Samples_Treatment/dhmc_6_10.mzML:scan:2164,1,0.98,13,MSV000081492,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:166718,1,0.98,13,MSV000091795,NoID
0,mzspec:MSV000082049:peak/Plate_8/16_31.mzML:scan:2055,1,0.98,13,MSV000082049,NoID
0,mzspec:MSV000081151:ccms_peak/mzXML_Files/Plate_1/HFD_C2_KO4.mzXML:scan:2131,1,0.98,13,MSV000081151,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:266729,1,0.98,13,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:396101,1,0.98,12,MSV000091795,NoID
0,mzspec:MSV000084753:ccms_peak/raw/F21_6.mzML:scan:3566,1,0.98,12,MSV000084753,NoID
0,mzspec:MSV000082049:ccms_peak/Plate_8/16_31.mzML:scan:2055,1,0.98,13,MSV000082049,NoID
0,mzspec:MSV000082049:peak/Plate_6/24_34.mzML:scan:2104,1,0.97,12,MSV000082049,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:335579,1,0.97,11,MSV000091795,NoID
0,mzspec:MSV000082049:peak/Plate_3/3_32.mzML:scan:2086,1,0.97,12,MSV000082049,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ325.mzXML:scan:2048,1,0.97,12,MSV000081343,NoID
0,mzspec:MSV000082049:ccms_peak/Plate_3/3_32.mzML:scan:2086,1,0.97,12,MSV000082049,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:444098,1,0.97,12,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:431434,1,0.97,12,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:416779,1,0.97,12,MSV000091795,NoID
0,mzspec:MSV000082049:ccms_peak/Plate_6/24_34.mzML:scan:2104,1,0.97,12,MSV000082049,NoID
0,mzspec:MSV000081351:ccms_peak/mzXML_Files/Rhee_1/38717.mzXML:scan:2290,1,0.97,12,MSV000081351,NoID
0,mzspec:MSV000086131:ccms_peak/Feces/Sample-2A1.mzML:scan:2642,1,0.97,11,MSV000086131,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ31.mzXML:scan:2041,1,0.97,12,MSV000081343,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ454.mzXML:scan:2085,1,0.97,12,MSV000081343,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:227899,1,0.97,12,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:413856,1,0.97,12,MSV000091795,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-30.mzML:scan:2670,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000082049:peak/Plate_4/23_34.mzML:scan:2073,1,0.96,12,MSV000082049,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:422296,1,0.96,11,MSV000091795,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ321.mzXML:scan:2058,1,0.96,11,MSV000081343,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Rerun/ms_ileum_8d_exp2_a1GOOD.mzXML:scan:2088,1,0.96,12,MSV000081343,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ521.mzXML:scan:2088,1,0.96,12,MSV000081343,NoID
0,mzspec:MSV000087523:peak/pos QE/18A.mzML:scan:2363,1,0.96,12,MSV000087523,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:224627,1,0.96,12,MSV000091795,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ253.mzXML:scan:2066,1,0.96,12,MSV000081343,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:432912,1,0.96,12,MSV000091795,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ460.mzXML:scan:2067,1,0.96,12,MSV000081343,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:327802,1,0.96,11,MSV000091795,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-12.mzML:scan:2688,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-9-test-310518.mzML:scan:2586,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:328452,1,0.96,11,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:414366,1,0.96,12,MSV000091795,NoID
0,mzspec:MSV000082049:ccms_peak/Plate_4/23_34.mzML:scan:2073,1,0.96,12,MSV000082049,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:336137,1,0.96,11,MSV000091795,NoID
0,mzspec:MSV000087523:ccms_peak/pos QE/18A.mzML:scan:2363,1,0.96,12,MSV000087523,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-11.mzML:scan:2672,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Feces/Sample-2E5.mzML:scan:2606,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-22.mzML:scan:2676,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-23.mzML:scan:2576,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:379022,1,0.96,12,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:171062,1,0.96,12,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:332588,1,0.96,11,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:423764,1,0.96,12,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:326538,1,0.96,11,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:333024,1,0.96,11,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:333339,1,0.96,11,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:335219,1,0.96,11,MSV000091795,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-8.mzML:scan:2586,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000084753:ccms_peak/raw/F49_1.mzML:scan:3624,1,0.96,12,MSV000084753,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-36.mzML:scan:2592,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-7.mzML:scan:2592,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ318.mzXML:scan:2076,1,0.96,12,MSV000081343,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:375942,1,0.96,11,MSV000091795,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-26.mzML:scan:2670,1,0.96,11,MSV000086131,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:413353,1,0.96,12,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:335924,1,0.96,11,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:335426,1,0.96,11,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:328051,1,0.96,11,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:396992,1,0.96,12,MSV000091795,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ37.mzXML:scan:2062,1,0.96,11,MSV000081343,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:327369,1,0.95,10,MSV000091795,NoID
0,mzspec:MSV000084753:ccms_peak/raw/F56_5.mzML:scan:3543,1,0.95,11,MSV000084753,NoID
0,mzspec:MSV000084753:ccms_peak/raw/F35_1.mzML:scan:3583,1,0.95,12,MSV000084753,NoID
0,mzspec:MSV000090950:peak/Data_mzML/P2_H8_127_T1.mzML:scan:2841,1,0.95,11,MSV000090950,NoID
0,mzspec:MSV000086178:ccms_peak/142.mzML:scan:2123,1,0.95,11,MSV000086178,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:443396,1,0.95,11,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:396461,1,0.95,12,MSV000091795,NoID
0,mzspec:MSV000095606:peak/20240813_comigration_hnrc_bacteria_mzML/4c.mzML:scan:2424,1,0.95,11,MSV000095606,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:328906,1,0.95,11,MSV000091795,NoID
0,mzspec:MSV000086178:peak/mzML/142.mzML:scan:2123,1,0.95,11,MSV000086178,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:396990,1,0.95,12,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:412652,1,0.95,10,MSV000091795,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ323.mzXML:scan:2045,1,0.95,12,MSV000081343,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:394809,1,0.95,11,MSV000091795,NoID
0,mzspec:MSV000084753:ccms_peak/raw/F49_1.mzML:scan:3619,1,0.95,12,MSV000084753,NoID
0,mzspec:MSV000080629:ccms_peak/mzXML/Sample/98.mzXML:scan:2042,1,0.95,13,MSV000080629,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:178191,1,0.95,11,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:328693,1,0.95,10,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:327102,1,0.95,11,MSV000091795,NoID
0,mzspec:MSV000087523:ccms_peak/pos QE/19A.mzML:scan:2590,1,0.95,11,MSV000087523,NoID
0,mzspec:MSV000087523:peak/pos QE/19A.mzML:scan:2590,1,0.95,11,MSV000087523,NoID
0,mzspec:MSV000081351:ccms_peak/mzXML_Files/Rhee_2/38977.mzXML:scan:2254,1,0.95,11,MSV000081351,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:416000,1,0.95,11,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:234141,1,0.95,11,MSV000091795,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ451.mzXML:scan:2055,1,0.95,10,MSV000081343,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:342755,1,0.95,13,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:328644,1,0.95,11,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:330508,1,0.95,11,MSV000091795,NoID
0,mzspec:MSV000083383:updates/2019-10-30_allegraaron_e0b9cac9/other/allegraaron/190319_hui.mzXML/152.mzXML:scan:3725,1,0.95,11,MSV000083383,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-32.mzML:scan:2586,1,0.95,11,MSV000086131,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:424201,1,0.95,11,MSV000091795,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ33.mzXML:scan:2048,1,0.95,11,MSV000081343,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:426577,1,0.95,12,MSV000091795,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-21.mzML:scan:2648,1,0.95,11,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Feces/Sample-2F1.mzML:scan:2605,1,0.95,10,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-3.mzML:scan:2653,1,0.95,11,MSV000086131,NoID
0,mzspec:ST002338:RawData/mzXML_format/Pos/pos_33.mzXML:scan:6574,1,0.95,12,ST002338,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ106.mzXML:scan:2046,1,0.95,11,MSV000081343,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-31.mzML:scan:2580,1,0.95,11,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Feces/Sample-X-101.mzML:scan:2618,1,0.95,10,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-2.mzML:scan:2585,1,0.95,11,MSV000086131,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:430356,1,0.95,11,MSV000091795,NoID
0,mzspec:MSV000082608:ccms_peak/raw_files/samples/necropsy/MV/81880.mzML:scan:2079,1,0.95,11,MSV000082608,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:428822,1,0.95,11,MSV000091795,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ109.mzXML:scan:2044,1,0.95,11,MSV000081343,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-35.mzML:scan:2665,1,0.95,10,MSV000086131,NoID
0,mzspec:MSV000090950:peak/Data_mzML/P2_A8_115_T1.mzML:scan:2822,1,0.95,10,MSV000090950,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:334399,1,0.95,10,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:331248,1,0.95,11,MSV000091795,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Ileum/EZ735.mzXML:scan:2072,1,0.95,11,MSV000081343,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:165617,1,0.95,11,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:333146,1,0.95,11,MSV000091795,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-1-firstrun.mzML:scan:2604,1,0.95,11,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-10.mzML:scan:2598,1,0.94,10,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-13.mzML:scan:2593,1,0.94,10,MSV000086131,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:417359,1,0.94,11,MSV000091795,NoID
0,mzspec:MSV000081343:ccms_peak/mzXML/Rerun/ms_ileum_8d_exp1_u4GOOD.mzXML:scan:2075,1,0.94,11,MSV000081343,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:379649,1,0.94,11,MSV000091795,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-15.mzML:scan:2587,1,0.94,10,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-17.mzML:scan:2694,1,0.94,10,MSV000086131,NoID
0,mzspec:MSV000086131:ccms_peak/Food/Food-310518-28.mzML:scan:2592,1,0.94,10,MSV000086131,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:235455,1,0.94,11,MSV000091795,NoID
0,mzspec:MSV000091795:peak/bile_acid_modifications_all_600k_renumbered.mzML:scan:330047,1,0.94,10,MSV000091795,NoID
